Probability	Target freq	Row freq	Deck freq	Number to draw	Deck size
      0.0	        1	        0	        0	        0	       18
      0.0	        1	        0	        0	        0	       19
      0.0	        1	        0	        0	        0	       20
      0.0	        1	        0	        0	        0	       21
      0.0	        1	        0	        0	        0	       22
      0.0	        1	        0	        0	        0	       23
      0.0	        1	        0	        0	        0	       24
      0.0	        1	        0	        0	        0	       25
      0.0	        1	        0	        0	        0	       26
      0.0	        1	        0	        0	        0	       27
      0.0	        1	        0	        0	        0	       28
      0.0	        1	        0	        0	        0	       29
      0.0	        1	        0	        0	        0	       30
      0.0	        1	        0	        0	        0	       31
      0.0	        1	        0	        0	        0	       32
      0.0	        1	        0	        0	        0	       33
      0.0	        1	        0	        0	        0	       34
      0.0	        1	        0	        0	        0	       35
      0.0	        1	        0	        0	        0	       36
      0.0	        1	        0	        0	        0	       37
      0.0	        1	        0	        0	        0	       38
      0.0	        1	        0	        0	        0	       39
      0.0	        1	        0	        0	        0	       40
      0.0	        1	        0	        0	        0	       41
      0.0	        1	        0	        0	        0	       42
      0.0	        1	        0	        0	        0	       43
      0.0	        1	        0	        0	        0	       44
      0.0	        1	        0	        0	        0	       45
      0.0	        1	        0	        0	        0	       46
      0.0	        1	        0	        0	        0	       47
      0.0	        1	        0	        0	        0	       48
      0.0	        1	        0	        0	        0	       49
      0.0	        1	        0	        0	        0	       50
      0.0	        1	        0	        0	        0	       51
      0.0	        1	        0	        0	        0	       52
      0.0	        1	        0	        1	        0	       18
    0.048	        1	        0	        1	        1	       18
    0.066	        1	        0	        1	        2	       18
    0.202	        1	        0	        1	        3	       18
    0.222	        1	        0	        1	        4	       18
    0.276	        1	        0	        1	        5	       18
    0.284	        1	        0	        1	        6	       18
    0.424	        1	        0	        1	        7	       18
    0.468	        1	        0	        1	        8	       18
      0.5	        1	        0	        1	        9	       18
    0.586	        1	        0	        1	       10	       18
    0.602	        1	        0	        1	       11	       18
    0.688	        1	        0	        1	       12	       18
    0.744	        1	        0	        1	       13	       18
    0.812	        1	        0	        1	       14	       18
     0.81	        1	        0	        1	       15	       18
    0.898	        1	        0	        1	       16	       18
    0.934	        1	        0	        1	       17	       18
      0.0	        1	        0	        1	        0	       19
    0.044	        1	        0	        1	        1	       19
    0.114	        1	        0	        1	        2	       19
    0.146	        1	        0	        1	        3	       19
    0.194	        1	        0	        1	        4	       19
    0.266	        1	        0	        1	        5	       19
    0.338	        1	        0	        1	        6	       19
    0.382	        1	        0	        1	        7	       19
     0.42	        1	        0	        1	        8	       19
    0.486	        1	        0	        1	        9	       19
    0.518	        1	        0	        1	       10	       19
    0.596	        1	        0	        1	       11	       19
    0.666	        1	        0	        1	       12	       19
    0.692	        1	        0	        1	       13	       19
