probability	num_empty_space	num_suit_left	num_to_draw	deck_size
        0.062	            1	            1	            1	           18
        0.106	            1	            1	            2	           18
         0.18	            1	            1	            3	           18
        0.216	            1	            1	            4	           18
        0.296	            1	            1	            5	           18
        0.334	            1	            1	            6	           18
        0.394	            1	            1	            7	           18
        0.438	            1	            1	            8	           18
        0.462	            1	            1	            9	           18
         0.56	            1	            1	           10	           18
        0.616	            1	            1	           11	           18
         0.63	            1	            1	           12	           18
        0.742	            1	            1	           13	           18
        0.782	            1	            1	           14	           18
        0.882	            1	            1	           15	           18
         0.89	            1	            1	           16	           18
        0.954	            1	            1	           17	           18
        0.058	            1	            1	            1	           19
        0.098	            1	            1	            2	           19
        0.152	            1	            1	            3	           19
        0.204	            1	            1	            4	           19
         0.24	            1	            1	            5	           19
         0.28	            1	            1	            6	           19
        0.338	            1	            1	            7	           19
        0.428	            1	            1	            8	           19
        0.468	            1	            1	            9	           19
        0.544	            1	            1	           10	           19
         0.59	            1	            1	           11	           19
         0.64	            1	            1	           12	           19
        0.704	            1	            1	           13	           19
        0.752	            1	            1	           14	           19
        0.804	            1	            1	           15	           19
         0.84	            1	            1	           16	           19
         0.89	            1	            1	           17	           19
        0.054	            1	            1	            1	           20
        0.128	            1	            1	            2	           20
        0.148	            1	            1	            3	           20
        0.216	            1	            1	            4	           20
         0.26	            1	            1	            5	           20
        0.322	            1	            1	            6	           20
        0.376	            1	            1	            7	           20
        0.434	            1	            1	            8	           20
        0.454	            1	            1	            9	           20
         0.48	            1	            1	           10	           20
        0.536	            1	            1	           11	           20
          0.6	            1	            1	           12	           20
        0.632	            1	            1	           13	           20
         0.69	            1	            1	           14	           20
        0.756	            1	            1	           15	           20
        0.768	            1	            1	           16	           20
        0.852	            1	            1	           17	           20
        0.066	            1	            1	            1	           21
        0.088	            1	            1	            2	           21
         0.13	            1	            1	            3	           21
        0.222	            1	            1	            4	           21
        0.238	            1	            1	            5	           21
        0.338	            1	            1	            6	           21
        0.304	            1	            1	            7	           21
        0.398	            1	            1	            8	           21
         0.44	            1	            1	            9	           21
        0.494	            1	            1	           10	           21
        0.512	            1	            1	           11	           21
        0.558	            1	            1	           12	           21
        0.608	            1	            1	           13	           21
         0.65	            1	            1	           14	           21
        0.714	            1	            1	           15	           21
         0.79	            1	            1	           16	           21
        0.824	            1	            1	           17	           21
         0.05	            1	            1	            1	           22
        0.064	            1	            1	            2	           22
         0.14	            1	            1	            3	           22
        0.196	            1	            1	            4	           22
         0.24	            1	            1	            5	           22
        0.276	            1	            1	            6	           22
        0.294	            1	            1	            7	           22
        0.332	            1	            1	            8	           22
          0.4	            1	            1	            9	           22
         0.45	            1	            1	           10	           22
        0.508	            1	            1	           11	           22
         0.55	            1	            1	           12	           22
        0.586	            1	            1	           13	           22
        0.658	            1	            1	           14	           22
        0.684	            1	            1	           15	           22
        0.732	            1	            1	           16	           22
        0.796	            1	            1	           17	           22
        0.052	            1	            1	            1	           23
        0.088	            1	            1	            2	           23
         0.11	            1	            1	            3	           23
        0.184	            1	            1	            4	           23
         0.21	            1	            1	            5	           23
         0.25	            1	            1	            6	           23
        0.308	            1	            1	            7	           23
        0.338	            1	            1	            8	           23
         0.39	            1	            1	            9	           23
         0.44	            1	            1	           10	           23
        0.448	            1	            1	           11	           23
        0.576	            1	            1	           12	           23
         0.57	            1	            1	           13	           23
        0.618	            1	            1	           14	           23
         0.65	            1	            1	           15	           23
        0.666	            1	            1	           16	           23
        0.748	            1	            1	           17	           23
        0.048	            1	            1	            1	           24
        0.074	            1	            1	            2	           24
        0.118	            1	            1	            3	           24
        0.174	            1	            1	            4	           24
        0.216	            1	            1	            5	           24
        0.244	            1	            1	            6	           24
        0.314	            1	            1	            7	           24
        0.348	            1	            1	            8	           24
        0.336	            1	            1	            9	           24
        0.424	            1	            1	           10	           24
        0.472	            1	            1	           11	           24
         0.52	            1	            1	           12	           24
         0.57	            1	            1	           13	           24
        0.562	            1	            1	           14	           24
          0.6	            1	            1	           15	           24
        0.646	            1	            1	           16	           24
          0.7	            1	            1	           17	           24
        0.036	            1	            1	            1	           25
        0.086	            1	            1	            2	           25
        0.134	            1	            1	            3	           25
        0.128	            1	            1	            4	           25
        0.192	            1	            1	            5	           25
        0.254	            1	            1	            6	           25
        0.302	            1	            1	            7	           25
        0.324	            1	            1	            8	           25
        0.356	            1	            1	            9	           25
        0.458	            1	            1	           10	           25
        0.474	            1	            1	           11	           25
        0.502	            1	            1	           12	           25
        0.528	            1	            1	           13	           25
        0.562	            1	            1	           14	           25
         0.59	            1	            1	           15	           25
        0.666	            1	            1	           16	           25
        0.652	            1	            1	           17	           25
         0.04	            1	            1	            1	           26
        0.092	            1	            1	            2	           26
        0.098	            1	            1	            3	           26
        0.132	            1	            1	            4	           26
          0.2	            1	            1	            5	           26
        0.226	            1	            1	            6	           26
        0.302	            1	            1	            7	           26
         0.32	            1	            1	            8	           26
        0.382	            1	            1	            9	           26
        0.346	            1	            1	           10	           26
         0.43	            1	            1	           11	           26
         0.44	            1	            1	           12	           26
        0.478	            1	            1	           13	           26
        0.556	            1	            1	           14	           26
        0.614	            1	            1	           15	           26
        0.616	            1	            1	           16	           26
         0.64	            1	            1	           17	           26
        0.034	            1	            1	            1	           27
         0.08	            1	            1	            2	           27
         0.13	            1	            1	            3	           27
        0.146	            1	            1	            4	           27
        0.194	            1	            1	            5	           27
        0.254	            1	            1	            6	           27
        0.238	            1	            1	            7	           27
        0.272	            1	            1	            8	           27
        0.344	            1	            1	            9	           27
        0.358	            1	            1	           10	           27
        0.428	            1	            1	           11	           27
        0.448	            1	            1	           12	           27
        0.492	            1	            1	           13	           27
        0.526	            1	            1	           14	           27
         0.55	            1	            1	           15	           27
        0.606	            1	            1	           16	           27
        0.618	            1	            1	           17	           27
        0.024	            1	            1	            1	           28
        0.066	            1	            1	            2	           28
        0.082	            1	            1	            3	           28
        0.156	            1	            1	            4	           28
        0.202	            1	            1	            5	           28
        0.238	            1	            1	            6	           28
        0.256	            1	            1	            7	           28
        0.256	            1	            1	            8	           28
        0.312	            1	            1	            9	           28
         0.36	            1	            1	           10	           28
        0.396	            1	            1	           11	           28
        0.438	            1	            1	           12	           28
        0.476	            1	            1	           13	           28
         0.48	            1	            1	           14	           28
         0.56	            1	            1	           15	           28
         0.58	            1	            1	           16	           28
        0.606	            1	            1	           17	           28
        0.026	            1	            1	            1	           29
        0.062	            1	            1	            2	           29
        0.088	            1	            1	            3	           29
        0.128	            1	            1	            4	           29
         0.16	            1	            1	            5	           29
        0.192	            1	            1	            6	           29
        0.224	            1	            1	            7	           29
        0.256	            1	            1	            8	           29
        0.356	            1	            1	            9	           29
        0.346	            1	            1	           10	           29
        0.408	            1	            1	           11	           29
        0.414	            1	            1	           12	           29
         0.46	            1	            1	           13	           29
        0.524	            1	            1	           14	           29
        0.522	            1	            1	           15	           29
        0.566	            1	            1	           16	           29
         0.58	            1	            1	           17	           29
        0.034	            1	            1	            1	           30
        0.074	            1	            1	            2	           30
        0.078	            1	            1	            3	           30
         0.16	            1	            1	            4	           30
        0.184	            1	            1	            5	           30
        0.182	            1	            1	            6	           30
        0.238	            1	            1	            7	           30
        0.304	            1	            1	            8	           30
        0.286	            1	            1	            9	           30
        0.342	            1	            1	           10	           30
        0.328	            1	            1	           11	           30
        0.398	            1	            1	           12	           30
        0.452	            1	            1	           13	           30
         0.45	            1	            1	           14	           30
        0.548	            1	            1	           15	           30
         0.55	            1	            1	           16	           30
        0.574	            1	            1	           17	           30
        0.022	            1	            1	            1	           31
        0.076	            1	            1	            2	           31
        0.102	            1	            1	            3	           31
        0.138	            1	            1	            4	           31
        0.134	            1	            1	            5	           31
        0.178	            1	            1	            6	           31
        0.202	            1	            1	            7	           31
        0.288	            1	            1	            8	           31
        0.254	            1	            1	            9	           31
        0.338	            1	            1	           10	           31
        0.334	            1	            1	           11	           31
         0.41	            1	            1	           12	           31
        0.424	            1	            1	           13	           31
        0.482	            1	            1	           14	           31
        0.502	            1	            1	           15	           31
        0.538	            1	            1	           16	           31
        0.568	            1	            1	           17	           31
        0.036	            1	            1	            1	           32
        0.064	            1	            1	            2	           32
        0.088	            1	            1	            3	           32
        0.132	            1	            1	            4	           32
        0.148	            1	            1	            5	           32
        0.204	            1	            1	            6	           32
        0.214	            1	            1	            7	           32
        0.284	            1	            1	            8	           32
        0.294	            1	            1	            9	           32
        0.322	            1	            1	           10	           32
        0.356	            1	            1	           11	           32
        0.394	            1	            1	           12	           32
        0.414	            1	            1	           13	           32
        0.426	            1	            1	           14	           32
