probability	multiplicity	num_to_draw	deck_size
     0.002	(1, 1, 1, 2, 3)	         5	        18
       0.0	(1, 1, 1, 2, 3)	         6	        18
     0.014	(1, 1, 1, 2, 3)	         7	        18
     0.022	(1, 1, 1, 2, 3)	         8	        18
     0.054	(1, 1, 1, 2, 3)	         9	        18
      0.11	(1, 1, 1, 2, 3)	        10	        18
      0.15	(1, 1, 1, 2, 3)	        11	        18
     0.224	(1, 1, 1, 2, 3)	        12	        18
     0.296	(1, 1, 1, 2, 3)	        13	        18
     0.404	(1, 1, 1, 2, 3)	        14	        18
     0.522	(1, 1, 1, 2, 3)	        15	        18
     0.682	(1, 1, 1, 2, 3)	        16	        18
     0.846	(1, 1, 1, 2, 3)	        17	        18
       0.0	(1, 1, 1, 2, 3)	         5	        19
     0.004	(1, 1, 1, 2, 3)	         6	        19
     0.004	(1, 1, 1, 2, 3)	         7	        19
     0.016	(1, 1, 1, 2, 3)	         8	        19
     0.026	(1, 1, 1, 2, 3)	         9	        19
     0.072	(1, 1, 1, 2, 3)	        10	        19
      0.09	(1, 1, 1, 2, 3)	        11	        19
     0.166	(1, 1, 1, 2, 3)	        12	        19
     0.302	(1, 1, 1, 2, 3)	        13	        19
     0.328	(1, 1, 1, 2, 3)	        14	        19
     0.464	(1, 1, 1, 2, 3)	        15	        19
     0.532	(1, 1, 1, 2, 3)	        16	        19
     0.718	(1, 1, 1, 2, 3)	        17	        19
       0.0	(1, 1, 1, 2, 3)	         5	        20
     0.002	(1, 1, 1, 2, 3)	         6	        20
     0.004	(1, 1, 1, 2, 3)	         7	        20
     0.014	(1, 1, 1, 2, 3)	         8	        20
     0.026	(1, 1, 1, 2, 3)	         9	        20
     0.058	(1, 1, 1, 2, 3)	        10	        20
     0.106	(1, 1, 1, 2, 3)	        11	        20
     0.154	(1, 1, 1, 2, 3)	        12	        20
     0.216	(1, 1, 1, 2, 3)	        13	        20
     0.274	(1, 1, 1, 2, 3)	        14	        20
     0.336	(1, 1, 1, 2, 3)	        15	        20
      0.49	(1, 1, 1, 2, 3)	        16	        20
     0.586	(1, 1, 1, 2, 3)	        17	        20
     0.002	(1, 1, 1, 2, 3)	         5	        21
     0.004	(1, 1, 1, 2, 3)	         6	        21
     0.006	(1, 1, 1, 2, 3)	         7	        21
     0.014	(1, 1, 1, 2, 3)	         8	        21
      0.03	(1, 1, 1, 2, 3)	         9	        21
     0.032	(1, 1, 1, 2, 3)	        10	        21
      0.08	(1, 1, 1, 2, 3)	        11	        21
      0.12	(1, 1, 1, 2, 3)	        12	        21
     0.172	(1, 1, 1, 2, 3)	        13	        21
      0.19	(1, 1, 1, 2, 3)	        14	        21
     0.338	(1, 1, 1, 2, 3)	        15	        21
     0.384	(1, 1, 1, 2, 3)	        16	        21
     0.482	(1, 1, 1, 2, 3)	        17	        21
       0.0	(1, 1, 1, 2, 3)	         5	        22
       0.0	(1, 1, 1, 2, 3)	         6	        22
     0.006	(1, 1, 1, 2, 3)	         7	        22
     0.004	(1, 1, 1, 2, 3)	         8	        22
     0.014	(1, 1, 1, 2, 3)	         9	        22
     0.042	(1, 1, 1, 2, 3)	        10	        22
     0.068	(1, 1, 1, 2, 3)	        11	        22
     0.114	(1, 1, 1, 2, 3)	        12	        22
      0.13	(1, 1, 1, 2, 3)	        13	        22
     0.188	(1, 1, 1, 2, 3)	        14	        22
     0.264	(1, 1, 1, 2, 3)	        15	        22
     0.324	(1, 1, 1, 2, 3)	        16	        22
     0.426	(1, 1, 1, 2, 3)	        17	        22
       0.0	(1, 1, 1, 2, 3)	         5	        23
     0.002	(1, 1, 1, 2, 3)	         6	        23
     0.006	(1, 1, 1, 2, 3)	         7	        23
      0.01	(1, 1, 1, 2, 3)	         8	        23
      0.02	(1, 1, 1, 2, 3)	         9	        23
     0.034	(1, 1, 1, 2, 3)	        10	        23
      0.06	(1, 1, 1, 2, 3)	        11	        23
     0.076	(1, 1, 1, 2, 3)	        12	        23
     0.112	(1, 1, 1, 2, 3)	        13	        23
     0.162	(1, 1, 1, 2, 3)	        14	        23
       0.2	(1, 1, 1, 2, 3)	        15	        23
      0.27	(1, 1, 1, 2, 3)	        16	        23
     0.342	(1, 1, 1, 2, 3)	        17	        23
       0.0	(1, 1, 1, 2, 3)	         5	        24
       0.0	(1, 1, 1, 2, 3)	         6	        24
       0.0	(1, 1, 1, 2, 3)	         7	        24
     0.006	(1, 1, 1, 2, 3)	         8	        24
     0.006	(1, 1, 1, 2, 3)	         9	        24
     0.014	(1, 1, 1, 2, 3)	        10	        24
      0.03	(1, 1, 1, 2, 3)	        11	        24
      0.07	(1, 1, 1, 2, 3)	        12	        24
     0.086	(1, 1, 1, 2, 3)	        13	        24
     0.114	(1, 1, 1, 2, 3)	        14	        24
      0.19	(1, 1, 1, 2, 3)	        15	        24
     0.256	(1, 1, 1, 2, 3)	        16	        24
     0.324	(1, 1, 1, 2, 3)	        17	        24
       0.0	(1, 1, 1, 2, 3)	         5	        25
       0.0	(1, 1, 1, 2, 3)	         6	        25
     0.002	(1, 1, 1, 2, 3)	         7	        25
     0.002	(1, 1, 1, 2, 3)	         8	        25
     0.008	(1, 1, 1, 2, 3)	         9	        25
     0.044	(1, 1, 1, 2, 3)	        10	        25
     0.038	(1, 1, 1, 2, 3)	        11	        25
     0.042	(1, 1, 1, 2, 3)	        12	        25
     0.066	(1, 1, 1, 2, 3)	        13	        25
     0.122	(1, 1, 1, 2, 3)	        14	        25
     0.164	(1, 1, 1, 2, 3)	        15	        25
     0.162	(1, 1, 1, 2, 3)	        16	        25
      0.25	(1, 1, 1, 2, 3)	        17	        25
       0.0	(1, 1, 1, 2, 3)	         5	        26
       0.0	(1, 1, 1, 2, 3)	         6	        26
       0.0	(1, 1, 1, 2, 3)	         7	        26
     0.002	(1, 1, 1, 2, 3)	         8	        26
     0.004	(1, 1, 1, 2, 3)	         9	        26
     0.018	(1, 1, 1, 2, 3)	        10	        26
     0.024	(1, 1, 1, 2, 3)	        11	        26
     0.034	(1, 1, 1, 2, 3)	        12	        26
     0.086	(1, 1, 1, 2, 3)	        13	        26
     0.076	(1, 1, 1, 2, 3)	        14	        26
     0.118	(1, 1, 1, 2, 3)	        15	        26
     0.174	(1, 1, 1, 2, 3)	        16	        26
     0.208	(1, 1, 1, 2, 3)	        17	        26
       0.0	(1, 1, 1, 2, 3)	         5	        27
       0.0	(1, 1, 1, 2, 3)	         6	        27
       0.0	(1, 1, 1, 2, 3)	         7	        27
     0.002	(1, 1, 1, 2, 3)	         8	        27
     0.012	(1, 1, 1, 2, 3)	         9	        27
     0.008	(1, 1, 1, 2, 3)	        10	        27
     0.022	(1, 1, 1, 2, 3)	        11	        27
     0.048	(1, 1, 1, 2, 3)	        12	        27
     0.046	(1, 1, 1, 2, 3)	        13	        27
     0.072	(1, 1, 1, 2, 3)	        14	        27
     0.112	(1, 1, 1, 2, 3)	        15	        27
     0.126	(1, 1, 1, 2, 3)	        16	        27
     0.194	(1, 1, 1, 2, 3)	        17	        27
       0.0	(1, 1, 1, 2, 3)	         5	        28
     0.002	(1, 1, 1, 2, 3)	         6	        28
       0.0	(1, 1, 1, 2, 3)	         7	        28
     0.002	(1, 1, 1, 2, 3)	         8	        28
     0.004	(1, 1, 1, 2, 3)	         9	        28
     0.006	(1, 1, 1, 2, 3)	        10	        28
     0.016	(1, 1, 1, 2, 3)	        11	        28
      0.03	(1, 1, 1, 2, 3)	        12	        28
     0.036	(1, 1, 1, 2, 3)	        13	        28
     0.074	(1, 1, 1, 2, 3)	        14	        28
     0.078	(1, 1, 1, 2, 3)	        15	        28
      0.13	(1, 1, 1, 2, 3)	        16	        28
     0.156	(1, 1, 1, 2, 3)	        17	        28
       0.0	(1, 1, 1, 2, 3)	         5	        29
       0.0	(1, 1, 1, 2, 3)	         6	        29
     0.002	(1, 1, 1, 2, 3)	         7	        29
       0.0	(1, 1, 1, 2, 3)	         8	        29
     0.002	(1, 1, 1, 2, 3)	         9	        29
       0.0	(1, 1, 1, 2, 3)	        10	        29
     0.018	(1, 1, 1, 2, 3)	        11	        29
      0.03	(1, 1, 1, 2, 3)	        12	        29
      0.03	(1, 1, 1, 2, 3)	        13	        29
     0.058	(1, 1, 1, 2, 3)	        14	        29
     0.078	(1, 1, 1, 2, 3)	        15	        29
     0.128	(1, 1, 1, 2, 3)	        16	        29
     0.136	(1, 1, 1, 2, 3)	        17	        29
       0.0	(1, 1, 1, 2, 3)	         5	        30
       0.0	(1, 1, 1, 2, 3)	         6	        30
     0.002	(1, 1, 1, 2, 3)	         7	        30
       0.0	(1, 1, 1, 2, 3)	         8	        30
     0.002	(1, 1, 1, 2, 3)	         9	        30
     0.004	(1, 1, 1, 2, 3)	        10	        30
     0.018	(1, 1, 1, 2, 3)	        11	        30
      0.02	(1, 1, 1, 2, 3)	        12	        30
     0.032	(1, 1, 1, 2, 3)	        13	        30
      0.04	(1, 1, 1, 2, 3)	        14	        30
     0.064	(1, 1, 1, 2, 3)	        15	        30
     0.094	(1, 1, 1, 2, 3)	        16	        30
     0.136	(1, 1, 1, 2, 3)	        17	        30
       0.0	(1, 1, 1, 2, 3)	         5	        31
       0.0	(1, 1, 1, 2, 3)	         6	        31
       0.0	(1, 1, 1, 2, 3)	         7	        31
     0.006	(1, 1, 1, 2, 3)	         8	        31
     0.002	(1, 1, 1, 2, 3)	         9	        31
     0.008	(1, 1, 1, 2, 3)	        10	        31
      0.01	(1, 1, 1, 2, 3)	        11	        31
      0.01	(1, 1, 1, 2, 3)	        12	        31
     0.028	(1, 1, 1, 2, 3)	        13	        31
     0.046	(1, 1, 1, 2, 3)	        14	        31
     0.048	(1, 1, 1, 2, 3)	        15	        31
     0.078	(1, 1, 1, 2, 3)	        16	        31
     0.104	(1, 1, 1, 2, 3)	        17	        31
       0.0	(1, 1, 1, 2, 3)	         5	        32
       0.0	(1, 1, 1, 2, 3)	         6	        32
       0.0	(1, 1, 1, 2, 3)	         7	        32
     0.002	(1, 1, 1, 2, 3)	         8	        32
     0.004	(1, 1, 1, 2, 3)	         9	        32
     0.014	(1, 1, 1, 2, 3)	        10	        32
     0.018	(1, 1, 1, 2, 3)	        11	        32
      0.01	(1, 1, 1, 2, 3)	        12	        32
     0.016	(1, 1, 1, 2, 3)	        13	        32
     0.028	(1, 1, 1, 2, 3)	        14	        32
     0.044	(1, 1, 1, 2, 3)	        15	        32
     0.048	(1, 1, 1, 2, 3)	        16	        32
      0.07	(1, 1, 1, 2, 3)	        17	        32
       0.0	(1, 1, 1, 2, 3)	         5	        33
       0.0	(1, 1, 1, 2, 3)	         6	        33
     0.002	(1, 1, 1, 2, 3)	         7	        33
       0.0	(1, 1, 1, 2, 3)	         8	        33
       0.0	(1, 1, 1, 2, 3)	         9	        33
     0.008	(1, 1, 1, 2, 3)	        10	        33
     0.008	(1, 1, 1, 2, 3)	        11	        33
     0.006	(1, 1, 1, 2, 3)	        12	        33
     0.022	(1, 1, 1, 2, 3)	        13	        33
     0.058	(1, 1, 1, 2, 3)	        14	        33
     0.046	(1, 1, 1, 2, 3)	        15	        33
     0.036	(1, 1, 1, 2, 3)	        16	        33
     0.066	(1, 1, 1, 2, 3)	        17	        33
       0.0	(1, 1, 1, 2, 3)	         5	        34
       0.0	(1, 1, 1, 2, 3)	         6	        34
       0.0	(1, 1, 1, 2, 3)	         7	        34
     0.002	(1, 1, 1, 2, 3)	         8	        34
     0.002	(1, 1, 1, 2, 3)	         9	        34
      0.01	(1, 1, 1, 2, 3)	        10	        34
     0.012	(1, 1, 1, 2, 3)	        11	        34
     0.016	(1, 1, 1, 2, 3)	        12	        34
     0.022	(1, 1, 1, 2, 3)	        13	        34
     0.026	(1, 1, 1, 2, 3)	        14	        34
     0.036	(1, 1, 1, 2, 3)	        15	        34
     0.054	(1, 1, 1, 2, 3)	        16	        34
      0.09	(1, 1, 1, 2, 3)	        17	        34
       0.0	(1, 1, 1, 2, 3)	         5	        35
       0.0	(1, 1, 1, 2, 3)	         6	        35
     0.002	(1, 1, 1, 2, 3)	         7	        35
       0.0	(1, 1, 1, 2, 3)	         8	        35
     0.004	(1, 1, 1, 2, 3)	         9	        35
       0.0	(1, 1, 1, 2, 3)	        10	        35
     0.006	(1, 1, 1, 2, 3)	        11	        35
     0.008	(1, 1, 1, 2, 3)	        12	        35
     0.026	(1, 1, 1, 2, 3)	        13	        35
     0.028	(1, 1, 1, 2, 3)	        14	        35
     0.036	(1, 1, 1, 2, 3)	        15	        35
      0.05	(1, 1, 1, 2, 3)	        16	        35
     0.068	(1, 1, 1, 2, 3)	        17	        35
       0.0	(1, 1, 1, 2, 3)	         5	        36
       0.0	(1, 1, 1, 2, 3)	         6	        36
       0.0	(1, 1, 1, 2, 3)	         7	        36
       0.0	(1, 1, 1, 2, 3)	         8	        36
     0.002	(1, 1, 1, 2, 3)	         9	        36
     0.004	(1, 1, 1, 2, 3)	        10	        36
     0.004	(1, 1, 1, 2, 3)	        11	        36
     0.002	(1, 1, 1, 2, 3)	        12	        36
     0.018	(1, 1, 1, 2, 3)	        13	        36
     0.022	(1, 1, 1, 2, 3)	        14	        36
     0.036	(1, 1, 1, 2, 3)	        15	        36
     0.034	(1, 1, 1, 2, 3)	        16	        36
      0.05	(1, 1, 1, 2, 3)	        17	        36
       0.0	(1, 1, 1, 2, 3)	         5	        37
       0.0	(1, 1, 1, 2, 3)	         6	        37
       0.0	(1, 1, 1, 2, 3)	         7	        37
       0.0	(1, 1, 1, 2, 3)	         8	        37
     0.002	(1, 1, 1, 2, 3)	         9	        37
       0.0	(1, 1, 1, 2, 3)	        10	        37
     0.008	(1, 1, 1, 2, 3)	        11	        37
      0.01	(1, 1, 1, 2, 3)	        12	        37
     0.008	(1, 1, 1, 2, 3)	        13	        37
     0.014	(1, 1, 1, 2, 3)	        14	        37
     0.032	(1, 1, 1, 2, 3)	        15	        37
     0.036	(1, 1, 1, 2, 3)	        16	        37
      0.03	(1, 1, 1, 2, 3)	        17	        37
       0.0	(1, 1, 1, 2, 3)	         5	        38
       0.0	(1, 1, 1, 2, 3)	         6	        38
       0.0	(1, 1, 1, 2, 3)	         7	        38
       0.0	(1, 1, 1, 2, 3)	         8	        38
       0.0	(1, 1, 1, 2, 3)	         9	        38
     0.008	(1, 1, 1, 2, 3)	        10	        38
       0.0	(1, 1, 1, 2, 3)	        11	        38
     0.006	(1, 1, 1, 2, 3)	        12	        38
     0.016	(1, 1, 1, 2, 3)	        13	        38
      0.02	(1, 1, 1, 2, 3)	        14	        38
     0.016	(1, 1, 1, 2, 3)	        15	        38
     0.042	(1, 1, 1, 2, 3)	        16	        38
     0.036	(1, 1, 1, 2, 3)	        17	        38
       0.0	(1, 1, 1, 2, 3)	         5	        39
       0.0	(1, 1, 1, 2, 3)	         6	        39
       0.0	(1, 1, 1, 2, 3)	         7	        39
       0.0	(1, 1, 1, 2, 3)	         8	        39
       0.0	(1, 1, 1, 2, 3)	         9	        39
       0.0	(1, 1, 1, 2, 3)	        10	        39
     0.008	(1, 1, 1, 2, 3)	        11	        39
      0.01	(1, 1, 1, 2, 3)	        12	        39
     0.008	(1, 1, 1, 2, 3)	        13	        39
     0.024	(1, 1, 1, 2, 3)	        14	        39
     0.018	(1, 1, 1, 2, 3)	        15	        39
     0.016	(1, 1, 1, 2, 3)	        16	        39
     0.046	(1, 1, 1, 2, 3)	        17	        39
       0.0	(1, 1, 1, 2, 3)	         5	        40
       0.0	(1, 1, 1, 2, 3)	         6	        40
       0.0	(1, 1, 1, 2, 3)	         7	        40
     0.002	(1, 1, 1, 2, 3)	         8	        40
     0.002	(1, 1, 1, 2, 3)	         9	        40
     0.006	(1, 1, 1, 2, 3)	        10	        40
     0.004	(1, 1, 1, 2, 3)	        11	        40
     0.002	(1, 1, 1, 2, 3)	        12	        40
     0.008	(1, 1, 1, 2, 3)	        13	        40
     0.008	(1, 1, 1, 2, 3)	        14	        40
      0.02	(1, 1, 1, 2, 3)	        15	        40
     0.012	(1, 1, 1, 2, 3)	        16	        40
     0.026	(1, 1, 1, 2, 3)	        17	        40
       0.0	(1, 1, 1, 2, 3)	         5	        41
       0.0	(1, 1, 1, 2, 3)	         6	        41
       0.0	(1, 1, 1, 2, 3)	         7	        41
       0.0	(1, 1, 1, 2, 3)	         8	        41
       0.0	(1, 1, 1, 2, 3)	         9	        41
